Imie1;Nazwisko1;stud1@agh.edu.pl;50;25;45;80;95;70;70;40;50;50;65;
Imie2;Nazwisko2;stud2@agh.edu.pl;80;65;75;90;80;65;90;0;80;90;
Imie3;Nazwisko3;stud3@agh.edu.pl;40;10;50;0;50;50;40;80;25;68;50;
Imie4;Nazwisko4;stud4@agh.edu.pl;75;10;50;25;98;70;95;85;70;75;95;
Imie5;Nazwisko5;stud5@agh.edu.pl;80;85;100;85;80;95;90;85;50;95;100;
Imie6;Nazwisko6;stud6@agh.edu.pl;100;25;60;85;80;70;60;85;50;65;65;
Imie7;Nazwisko7;stud7@agh.edu.pl;90;40;40;80;75;60;75;85;40;50;65;
Imie8;Nazwisko8;stud8@agh.edu.pl;10;0;30;0;45;45;60;65;50;75;75;
Imie9;Nazwisko9;stud9@agh.edu.pl;75;0;0;20;75;10;10;0;0;0;
Imie10;Nazwisko10;stud10@agh.edu.pl;100;20;55;45;90;98;40;85;50;75;45;
Imie11;Nazwisko11;stud10@agh.edu.pl;35;0;50;20;35;30;25;80;30;60;50;
Imie12;Nazwisko12;stud12@agh.edu.pl;100;35;75;95;90;85;88;75;90;80;
Imie13;Nazwisko13;stud13@agh.edu.pl;85;5;65;45;70;45;55;75;60;50;45;
Imie14;Nazwisko14;stud14@agh.edu.pl;25;0;0;15;5;0;20;0;10;35;0;
Imie15;Nazwisko15;stud15@agh.edu.pl;25;25;90;45;45;40;35;80;50;90;85;
Imie16;Nazwisko16;stud16@agh.edu.pl;90;0;65;40;65;50;75;75;95;80;95;
Imie17;Nazwisko17;stud17@agh.edu.pl;90;20;90;25;88;60;85;85;75;85;100;
Imie18;Nazwisko18;stud18@agh.edu.pl;95;10;40;95;75;45;60;75;40;95;
Imie19;Nazwisko19;stud19@agh.edu.pl;90;0;95;85;95;88;88;75;
Imie20;Nazwisko20;stud20@agh.edu.pl;100;40;75;95;100;100;90;85;100;80;90;80;100
Imie21;Nazwisko21;stud21@agh.edu.pl;85;5;35;85;85;77;90;75;95;80;95;
Imie22;Nazwisko22;stud22@agh.edu.pl;85;35;65;95;85;80;70;75;95;50;95;
Imie23;Nazwisko23;stud23@agh.edu.pl;90;50;50;95;75;40;70;75;50;90;
Imie24;Nazwisko24;stud24@agh.edu.pl;50;20;50;20;5;90;50;65;70;65;85;
Imie25;Nazwisko25;stud25@agh.edu.pl;70;35;70;50;90;60;90;85;
Imie26;Nazwisko26;stud20@agh.edu.pl;20;10;75;85;85;80;75;75;95;80;100;
Imie27;Nazwisko27;stud27@agh.edu.pl;90;40;90;40;90;65;90;75;95;70;100;
Imie28;Nazwisko28;stud28@agh.edu.pl;75;5;5;70;50;5;40;65;70;65;75;
Imie11;Nazwisko11;stud10@agh.edu.pl;35;0;50;20;35;30;25;80;30;60;50;


  
